level_0,index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,document_tone,sentences_tone
10,4509,PremeLuis,n.a,"queens, ny",467,395,31175,2011-11-01 17:11:49,2020-06-20 03:14:57,25973,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
11,4510,taaaed,black lives matter.,dio brando’s ass,90,218,28747,2015-03-10 01:45:06,2020-06-21 02:40:27,259,if the coronavirus is the chinese virus guess obesity and racism is the american virus,[],[],coronavirus chinese virus guess obesity racism american virus,"{'tones': [{'score': 0.501485, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
12,4511,RepublicanDest1,destroying republicans since 2020.            #biden2020,n.a,41,19,1166,2020-05-05 21:56:00,2020-06-21 03:26:27,638,"Breaking News: Covid Virus extremely confused at #TrumpRallyFail. ""I'm really disappointed,"" said virus, ""we were going to spread it like warm butter tonight."" Virus adds, ""We'll work with what we got.""",['trumprallyfail'],[],break news covid virus extremely confused i'm really disappoint say virus go spread like warm butter tonight virus add we'll work get,"{'tones': [{'score': 0.654326, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
13,4512,NoreenBawn2020,#maga #kag #trump2020.independent conservative.,n.a,2690,2621,36088,2020-01-25 02:22:02,2020-06-20 01:55:59,18,"@Breaking911 Leftist trolls will fear-monger over COVID-19 but said nothing about dancing on each other at these ""peaceful protests."" 

Buddy, if you didn't get the virus while stealing TVs and sneakers, we're not going to get a virus while loving our country. Nice try though! #MAGA",[],['@Breaking911'],"leftist troll fear-monger say nothing dance peaceful protest 

buddy get virus steal tvs sneaker we're go get virus love country nice try though","{'tones': [{'score': 0.707573, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.664175, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'leftist troll fear-monger say nothing dance peaceful protest ', 'tones': [{'score': 0.813671, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ""buddy get virus steal tvs sneaker we're go get virus love country nice try though"", 'tones': [{'score': 0.671564, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]"
14,4513,cnrajan23,"intrested in everything has no limits.தெரிந்தது சொல்வேன், தெரியாதது தெரிந்து கொள்வேன்#கடவுள் உண்டு#குறைந்த followersக்கு rt செய்வேன்#அம்மா பக்தன்",tamilnadu,343,253,14401,2011-07-21 11:37:47,2020-06-21 02:33:13,71,"Great news....

Now we have a drug which can cure mild to Moderate Corona virus.

Glenmark is manufacturing it en masse. It will be available everywhere in 2-3 days...

Our India scientists to contributed in this.

Cc: @MODIfiedVikas https://t.co/hOc2nkGcM0",[],['@MODIfiedVikas'],"great news....

now drug cure mild moderate corona virus.

glenmark manufacturing en masse available everywhere days...

our india scientist contribute this.

cc",{'tones': []},"[{'sentence_id': 0, 'text': 'great news....', 'tones': [{'score': 0.775222, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'now drug cure mild moderate corona virus.', 'tones': []}, {'sentence_id': 3, 'text': 'glenmark manufacturing en masse available everywhere days...', 'tones': []}, {'sentence_id': 4, 'text': '', 'tones': []}, {'sentence_id': 5, 'text': 'our india scientist contribute this.', 'tones': [{'score': 0.655114, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 6, 'text': 'cc', 'tones': []}]"
15,4514,Gram23421427,n.a,n.a,88,22,1060,2019-10-25 04:20:46,2020-06-20 03:18:52,0,@ATL1se7en @MrMubinShaikh @switch_d She didn't die of Corno virus she died Due to blockage of humanitarian access by PKK SDF terrorists supported by crusader. People nowadays giving Corona virus to every single medical symptoms.,[],"['@ATL1se7en', '@MrMubinShaikh', '@switch_d']",die corno virus die due blockage humanitarian access pkk sdf terrorist support crusader people nowadays give corona virus every single medical symptom,"{'tones': [{'score': 0.835272, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
16,4515,StevenFantasyF,"born and raised in san diego. husband and father of two great kids. love hiking in sedona, vikings 🏈 and mexico makes me happy 😃 🇲🇽","la mesa, ca",1727,483,14351,2016-05-15 22:26:07,2020-06-21 02:18:33,123,"#NEW Pres. Trump touts progress of U.S. energy biz:

“Because of the Chinese virus what happened about 3 months ago—it looked like we were in big trouble, and we were and I got it back together.” 

“I called Russia, I called Saudi Arabia, and believe it or not I called Mexico.” https://t.co/mcAjnNOfQm",['new'],[],"pres trump tout progress u.s energy biz:

“because chinese virus happen month ago—it look like big trouble get back together.” 

“i call russia call saudi arabia believe call mexico.”","{'tones': [{'score': 0.896412, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'pres trump tout progress u.s energy biz:', 'tones': [{'score': 0.59795, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': '“because chinese virus happen month ago—it look like big trouble get back together.”', 'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': '“i call russia call saudi arabia believe call mexico.”', 'tones': [{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]"
17,4516,RandyLax1,"proverbs 29:2. when the righteous increase, the people rejoice, but when the wicked rule, the people groan. prov 3:5-6 trust in the lord with all your heart ...","tennessee, usa",4683,3812,70809,2016-09-16 12:03:25,2020-06-21 03:29:45,861,"The Trump hater mocking empty seats 40 minutes out, not understanding security checks and now corona virus checks
ENEMY OF THE PEOPLE
@realDonaldTrump #TulsaTrumpRally https://t.co/07z8HAvugI",[],['@realDonaldTrump'],"trump hater mock empty seat minute understand security check corona virus checks
enemy people
","{'tones': [{'score': 0.518557, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.98445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'trump hater mock empty seat minute understand security check corona virus checks', 'tones': [{'score': 0.941308, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'enemy people', 'tones': [{'score': 0.583295, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]"
18,4517,hrsepowr04,"🇺🇲  an cool guy 😎.
native american indian
like: movie's, writer, music, vintage collector. a fan of wwe, xxx, ps4, sci-fi bit of a nerd 📸📱🎥💿💪🎶","oklahoma, usa",228,178,14474,2010-09-02 02:31:23,2020-06-20 03:00:12,25263,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
19,4518,LeamonReginald,"writer, researcher, scholar, children’s rights advocate, studies neurobiology, critical theorist, aikidoka, yogi, dad, exopolitics, quantum physics/philosophy",n.a,426,376,20546,2019-06-18 16:35:02,2020-06-21 03:59:08,298,"The Corona 2.0 hoax is being helped by propaganda from China.  Remember where this virus came from  

Chy-na Virus 🇨🇳🇨🇳

https://t.co/FMzlJS2T8w",[],[],"corona hoax help propaganda china remember virus come 

chy-na virus 

","{'tones': [{'score': 0.857009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'corona hoax help propaganda china remember virus come ', 'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'chy-na virus', 'tones': []}]"
20,4519,News_Bazooka,"usmc vet. “ saved by grace” 🇺🇸 i lean righty tighty, not lefty loosey.","michigan, usa",525,61,2029,2020-04-19 00:49:09,2020-06-21 02:21:35,804,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
21,4520,Linkylaw,n.a,n.a,597,350,35081,2011-08-19 19:25:46,2020-06-21 03:56:11,1962,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
22,4521,Tushar5677,big fan of 👑 karan aujla,"uttar pradesh, india",1202,419,38046,2020-01-04 09:02:43,2020-06-21 02:40:19,11,"11:11

Good Health for @Arora16Stuti. She Tested Positive For Corona Virus. Please Almighty give her and family the strength and we want our stuti Back ASAP. She is the most positive Girl on twitter. Every1 Please pray for her well Being. 😑😑😑",[],['@Arora16Stuti.'],health test positive corona virus please almighty give family strength want stuti back asap positive girl twitter please pray well,"{'tones': [{'score': 0.764914, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
23,4522,JustSteven7,n.a,n.a,219,34,260,2010-11-21 02:41:42,2020-06-20 03:14:21,368,"Thanks a lot jackasses, due to the spike in Corona Virus cases in the state, visitation at the hospital has been cut off completely. Hope brunch at that bar and grill was worth it, you selfish fucks. Eat a bag of dicks.",[],[],thanks lot jackass due spike corona virus case state visitation hospital cut completely hope brunch bar grill worth selfish fuck eat bag dick,"{'tones': [{'score': 0.597553, 'tone_id': 'anger', 'tone_name': 'Anger'}]}",
24,4523,ATDelPozzi,"ph.d. exercise physiology,  assistant professor exercise science. t1d researches ans dysfunction and vascular physiology. #rolltide.","muncie, in",703,344,3846,2011-05-31 19:54:51,2020-06-21 02:41:50,0,@Amy_Siskind The Corona virus is real. Who knew it could be so complicated. No one could have predicted this.,[],['@Amy_Siskind'],corona virus real knew could complicate one could predict,"{'tones': [{'score': 0.93534, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
25,4524,DEEPSOLANKI80,n.a,n.a,186,134,28097,2015-09-17 16:00:25,2020-06-21 03:12:20,343,"“Because of the Chinese virus what happened about 3 months ago—it looked like we were in big trouble, and we were and I got it back together.” Trump at Tulsa rally. American media most upset with term 'Chinese virus', calling DT a racist. Also shows the disconnect b/w media &amp; ppl",[],[],“because chinese virus happen month ago—it look like big trouble get back together.” trump tulsa rally american medium upset term chinese virus call dt racist also show disconnect b/w medium amp ppl,"{'tones': [{'score': 0.50589, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': '“because chinese virus happen month ago—it look like big trouble get back together.”', 'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'trump tulsa rally american medium upset term chinese virus call dt racist also show disconnect b/w medium amp ppl', 'tones': []}]"
26,4525,canocstrong36,"he/him/his - game design art student, avid gamer, watcher of movies, tv, anime, and youtube. profile picture by shawn mccauley @thegreatshono",wherever high noon is.,1180,271,12965,2014-10-17 02:51:48,2020-06-20 02:48:56,306,"Thanks a lot jackasses, due to the spike in Corona Virus cases in the state, visitation at the hospital has been cut off completely. Hope brunch at that bar and grill was worth it, you selfish fucks. Eat a bag of dicks.",[],[],thanks lot jackass due spike corona virus case state visitation hospital cut completely hope brunch bar grill worth selfish fuck eat bag dick,"{'tones': [{'score': 0.597553, 'tone_id': 'anger', 'tone_name': 'Anger'}]}",
27,4526,BTSHeadliner,여러분 행복하자! 💛 | #loveyourself #lovemyself😇,south korea - bts headliner,231,214,6760,2019-05-24 19:36:29,2020-06-21 03:29:42,134,"#NEW Pres. Trump touts progress of U.S. energy biz:

“Because of the Chinese virus what happened about 3 months ago—it looked like we were in big trouble, and we were and I got it back together.” 

“I called Russia, I called Saudi Arabia, and believe it or not I called Mexico.” https://t.co/mcAjnNOfQm",['new'],[],"pres trump tout progress u.s energy biz:

“because chinese virus happen month ago—it look like big trouble get back together.” 

“i call russia call saudi arabia believe call mexico.”","{'tones': [{'score': 0.896412, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'pres trump tout progress u.s energy biz:', 'tones': [{'score': 0.59795, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': '“because chinese virus happen month ago—it look like big trouble get back together.”', 'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': '“i call russia call saudi arabia believe call mexico.”', 'tones': [{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]"
28,4527,marieevene,n.a,"kyrenia, cyprus",236,102,4462,2013-04-21 15:07:52,2020-06-20 02:55:28,25296,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
29,4528,edmbunnyy,"all i do is play video game, watch anime, dance to robot noise, and eat hot chip","florida, usa",1894,3023,109708,2011-01-10 01:21:03,2020-06-20 03:15:48,25968,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
30,4529,Anne_Hogan,"digital marketer - sports & entertainment. pom mom. southerner in la. highly caffeinated. i love whales and sequins. i had cancer, now i have cancer jokes.","los angeles, ca",1261,2871,40117,2008-10-24 14:52:56,2020-06-21 03:26:37,54,me on my way to crush racism after trump called corona virus “kung flu” at his rally 🥰 https://t.co/Ptiep4DLwD,[],[],way crush racism trump call corona virus “kung flu” rally,{'tones': []},
31,4530,j3nw,🇵🇭❤️🇱🇷,"san francisco, ca",1517,239,1218,2009-05-29 19:16:42,2020-06-21 02:22:06,801,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
32,4531,joesmittyyy,kyrapoza🥰 || ⍟ ⎊ ⧗ ✇ ϟ ➳ ✵ ۞ ꘩ ᗢ ✪ 🕸️ ◊ ⓐ,wa,288,1390,9931,2017-07-27 06:01:32,2020-06-21 02:26:57,206,if the coronavirus is the chinese virus guess obesity and racism is the american virus,[],[],coronavirus chinese virus guess obesity racism american virus,"{'tones': [{'score': 0.501485, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
33,4532,tsk_y8n_,มีเงินนับเป็นน้อง มีทองนับเป็นพี่ หน้าตาดีนับเป็นผัว / we are liverpool. this mean more. 6🏆,thailand,330,1060,87718,2010-11-03 11:30:31,2020-06-21 04:17:56,913,"President Trump used a racist term during his Tulsa rally to refer to coronavirus, which he has previously referred to as the ""Chinese virus"" https://t.co/tdyUBGckdo",[],[],president trump use racist term tulsa rally refer coronavirus previously refer chinese virus,"{'tones': [{'score': 0.874319, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
34,4533,bradquackenbush,n.a,"kingston, ny",47,169,21909,2010-11-17 01:57:05,2020-06-21 02:47:02,3065,"At the Trump rally, Brian Clothier, 61, is wearing an adult diaper over his pants that reads “Scientists say [farts] spread the virus. I COVID my ass to stop the spread.” https://t.co/2Ljok0vKKe",[],[],trump rally brian clothier wear adult diaper pant read “scientists say fart spread virus covid as stop spread.”,{'tones': []},
